"MATCH_SCORE","ID_1","NAME_1","HOSTNAME_1","NEIGHB_1","LATITUDE_1","LONGITUDE_1","ROOM_TYPE_1","ID_2","NAME_2","HOSTNAME_2","NEIGHB_2","LATITUDE_2","LONGITUDE_2","ROOM_TYPE_2"
"91","981712","Apartment x 4 - ""Opera Inn Suites""","Elisabetta","XIII Aurelia","4,189,749","1,245,287","Entire home/apt","763338","Apartment x 6 "" Opera Inn Suites ""","Elisabetta","XIII Aurelia","4,189,713","1,245,423","Entire home/apt"
"91","770792","DOMUS CAVOUR B&B FAMILY ROOM","Domus Hotel","I Centro Storico","419,086","1,246,733","Private room","770715","DOMUS CAVOUR B&B SINGLE ROOM","Domus Hotel","I Centro Storico","4,190,798","1,246,944","Private room"
"91","778013","Room Campo de' fiori -Family life 1","Julia","I Centro Storico","4,189,449","1,247,307","Private room","778012","Room Campo de' fiori, family life 2","Julia","I Centro Storico","4,189,454","124,731","Private room"
"91","866666","B&B TUTTIDAMARI Room SOCRATE - Colosseo","Marina","VII San Giovanni/Cinecittà","4,188,605","1,251,232","Private room","852799","B&B TUTTIDAMARI Room IAGO -Colosseo","Marina","VII San Giovanni/Cinecittà","4,188,569","1,251,241","Private room"
"91","981712","Apartment x 4 - ""Opera Inn Suites""","Elisabetta","XIII Aurelia","4,189,749","1,245,287","Entire home/apt","981661","Apartment x 2 ""Opera Inn Suites""","Elisabetta","XIII Aurelia","4,189,894","1,245,237","Entire home/apt"
"91","928637","Room in the center of rome","Alessandro","XII Monte Verde","4,187,811","1,245,896","Private room","928606","Room in the heart of Rome","Alessandro","XII Monte Verde","4,187,768","1,245,929","Private room"
"91","1151453","Pope's neighbors v. aurelia 79int 7","I Vicini Del Papa","XIII Aurelia","4,189,937","1,245,334","Entire home/apt","1583398","The Popes neighbors Aurelia 79 int4","I Vicini Del Papa","XIII Aurelia","4,189,967","1,245,457","Entire home/apt"
"91","1026336","apartment in the center of rome","Alessandro","XII Monte Verde","4,187,786","1,245,726","Entire home/apt","2195366","Family apartment in central Rome","Alessandra","I Centro Storico","4,190,086","1,247,461","Entire home/apt"
"91","831354","Fruit Rooms your sweet home in Rome","Kalim","I Centro Storico","4,190,606","1,249,975","Private room","2799528","Kiwi Room, your sweet home in Rome","Kalim","I Centro Storico","4,190,522","1,250,056","Private room"
"91","1230460","Roma Trastevere apt. sleeps 4 pax","Francesco","I Centro Storico","4,189,205","124,701","Entire home/apt","3111862","Roma Trastevere apt sleeps 4 ROVERE","Francesco","I Centro Storico","4,189,842","1,246,179","Entire home/apt"
"91","924507","149 GUESTHOUSE B&B Room B","Enrico E Paola","I Centro Storico","4,188,111","1,247,674","Private room","7550075","149 GUESTHOUSE B&B Room A","Enrico E Paola","I Centro Storico","4,188,095","1,247,594","Private room"
